symptoms,department
"night urination, burning urination, painful urination with fever",Urologist
"burning urination, blood in urine, lower abdominal pain urination, urine leakage",Urologist
"difficulty concentrating, addiction, trauma flashbacks",Psychiatrist
"throat infection, allergic rhinitis, sore throat",ENT
"chest pain, chest tightness, pressure in chest, left arm pain",Cardiologist
"ear discharge, runny nose, ear pain, swollen neck glands",ENT
"blurred vision with headache, memory loss, dizziness",Neurologist
"mild fever, low grade fever, flu",General Physician
"dizziness, confusion, tingling, one sided weakness",Neurologist
"vomiting, stomach cramps, gas",Gastroenterologist
"vaccination query, rash with fever, child sore throat, baby vomiting",Pediatrician
"migraine, severe headache, one sided weakness",Neurologist
"swollen gums, tooth pain with headache",Dentist
"constipation, loss of appetite, indigestion",Gastroenterologist
"swollen eyelid, eye pain, red eye",Ophthalmologist
"groin pain, painful urination with fever, difficulty starting urination",Urologist
"blocked nose, ear pain",ENT
"watering eyes, difficulty seeing far, sensitivity to light, double vision",Ophthalmologist
"difficulty swallowing, unexplained weight loss, loss of appetite",Oncologist
"ear pain, baby constipation, child wheezing",Pediatrician
"postpartum bleeding, pregnancy nausea",Gynecologist
"persistent bone pain, persistent cough, unexplained weight loss",Oncologist
"hives, ringworm",Dermatologist
"difficulty starting urination, back pain near kidneys, blood in urine",Urologist
"gas, blood in stool, loss of appetite",Gastroenterologist
"seizure, tremor, severe headache",Neurologist
"tingling, one sided weakness, migraine",Neurologist
"non healing ulcer, persistent fatigue, loss of appetite",Oncologist
"sore throat, weakness",General Physician
"diarrhea, stomach cramps, loss of appetite",Gastroenterologist
"acne, ringworm, dry skin, redness",Dermatologist
"dizziness, cold",General Physician
"difficulty concentrating, mood swings, depressed mood",Psychiatrist
"indigestion, heartburn",Gastroenterologist
"redness, skin allergy, acne",Dermatologist
"ear pain, baby vomiting, fast breathing",Pediatrician
"difficulty seeing far, double vision, swollen eyelid",Ophthalmologist
"shortness of breath, palpitations, dizziness, chest pain",Cardiologist
"addiction, hopelessness, panic attacks, suicidal thoughts",Psychiatrist
"blood in stool, food poisoning, stomach cramps",Gastroenterologist
"memory loss, one sided weakness, confusion",Neurologist
"night sweats, abdominal swelling, persistent fatigue",Oncologist
"constipation, bloating, stomach cramps",Gastroenterologist
"mild fever, cough, runny nose, dizziness",General Physician
"fainting, high blood pressure, chest pain",Cardiologist
"fatigue with breathlessness, sweating, chest pain",Cardiologist
"sensitivity to light, blurred vision, eye pain",Ophthalmologist
"mild fever, cough, chills",General Physician
"rash with fever, diarrhea, fast breathing",Pediatrician
"postpartum bleeding, pcos symptoms",Gynecologist
"pregnancy nausea, period cramps, irregular periods",Gynecologist
"runny nose, dizziness, fatigue",General Physician
"indigestion, food poisoning, diarrhea, jaundice",Gastroenterologist
"fungal infection, itching, ringworm",Dermatologist
"child stomach pain, child fever, rash with fever, dehydration",Pediatrician
"unexplained weight loss, persistent hoarseness, persistent fatigue",Oncologist
"sore throat, flu, mild fever",General Physician
"mouth ulcer, bleeding gums, wisdom tooth pain, gum swelling",Dentist
"frequent urination, urine infection, night urination",Urologist
"abdominal pain, gas, constipation, indigestion",Gastroenterologist
"vaginal infection, pregnancy nausea, pcos symptoms",Gynecologist
"ringworm, pigmentation, skin allergy",Dermatologist
"hair fall, redness, hives",Dermatologist
"foreign body sensation, swollen eyelid",Ophthalmologist
"period cramps, pcos symptoms, pregnancy nausea",Gynecologist
"neck pain radiating, severe headache, speech difficulty",Neurologist
"muscle strain, joint pain",Orthopedic
"loss of appetite, chills, weakness",General Physician
"bleeding gums, gum swelling, bleeding while brushing",Dentist
"irregular periods, painful periods, heavy bleeding",Gynecologist
"cough, low grade fever, mild fever, cold",General Physician
"seizure, one sided weakness, tingling",Neurologist
"fracture, joint pain, muscle strain",Orthopedic
"severe headache, balance problem, memory loss, migraine",Neurologist
"breathlessness at night, leg swelling",Cardiologist
"eczema, hives, dandruff",Dermatologist
"postpartum bleeding, itching, pcos symptoms, painful periods",Gynecologist
"dry eyes, blurred vision, red eye",Ophthalmologist
"sinus pain, nose bleeding, throat infection",ENT
"blood in cough, difficulty swallowing, swollen lymph nodes",Oncologist
"white discharge, postpartum bleeding",Gynecologist
"memory loss, dizziness, speech difficulty",Neurologist
"vomiting, bloating, jaundice",Gastroenterologist
"stomach cramps, acidity, constipation",Gastroenterologist
"broken tooth, bleeding while brushing, pus near gum, bleeding gums",Dentist
"heart pain, chest pain, cardiac arrest, heart attack symptoms, heart palpitations, irregular heartbeat, rapid heartbeat, slow heartbeat, angina, tightness in chest, pressure in chest, heart failure symptoms, coronary artery disease, high blood pressure, low blood pressure, shortness of breath due to heart issues",Cardiologist
"depressed mood, addiction, difficulty concentrating",Psychiatrist
"stomach cramps, heartburn, constipation, abdominal pain",Gastroenterologist
"dandruff, hives, skin allergy, itching",Dermatologist
"pus near gum, bad breath, bleeding gums",Dentist
"irregular heartbeat, pressure in chest, leg swelling",Cardiologist
"night vision problem, eye strain headache, itchy eyes",Ophthalmologist
"back pain, joint pain",Orthopedic
"chest pain, fatigue with breathlessness, rapid heartbeat, dizziness",Cardiologist
"runny nose, sinus pain",ENT
"runny nose, weakness, fatigue, dizziness",General Physician
"swollen neck glands, sore throat",ENT
"panic attacks, mood swings, difficulty concentrating",Psychiatrist
"boils, redness, acne",Dermatologist
"heavy bleeding, vaginal infection, pregnancy nausea, painful periods",Gynecologist
"blood in stool, acidity",Gastroenterologist
"trauma flashbacks, difficulty concentrating",Psychiatrist
"newborn feeding issue, child cough, baby vomiting",Pediatrician
"overthinking, insomnia, anxiety",Psychiatrist
"ringworm, boils, hives, acne",Dermatologist
"baby constipation, rash with fever, blocked nose",Pediatrician
"red eye, watering eyes",Ophthalmologist
"loss of appetite, persistent fatigue, blood in stool, unusual bleeding",Oncologist
"low grade fever, headache",General Physician
"high blood pressure, fainting, chest pain",Cardiologist
"frequent urination, reduced urine flow, painful urination with fever",Urologist
"sinus pain, ear pain, hearing loss, ringing in ear",ENT
"eye strain headache, watering eyes, night vision problem",Ophthalmologist
"sprain, knee pain, fracture, joint pain",Orthopedic
"period cramps, pelvic pain, missed period",Gynecologist
"dehydration, child wheezing, child cough, diarrhea",Pediatrician
"persistent hoarseness, persistent cough",Oncologist
"dehydration, ear pain, diarrhea",Pediatrician
"weakness, headache",General Physician
"balance problem, fainting, one sided weakness",Neurologist
"testicular swelling, frequent urination, difficulty starting urination, urine infection",Urologist
"lower abdominal pain, postpartum bleeding, white discharge, vaginal infection",Gynecologist
"pus near gum, gum swelling",Dentist
"night sweats, persistent fatigue, abdominal swelling, breast lump",Oncologist
"addiction, trauma flashbacks",Psychiatrist
"kidney stone pain, reduced urine flow, back pain near kidneys, urine leakage",Urologist
"difficulty seeing far, sensitivity to light, red eye",Ophthalmologist
"tooth sensitivity, cavity pain, bad breath",Dentist
"cough, sore throat, dizziness, loss of appetite",General Physician
"anger issues, hopelessness, insomnia",Psychiatrist
"painful periods, irregular periods",Gynecologist
"wisdom tooth pain, mouth ulcer",Dentist
"overthinking, suicidal thoughts, depressed mood",Psychiatrist
"loss of appetite, blood in cough, non healing ulcer",Oncologist
"breathlessness at night, high blood pressure, left arm pain, fainting",Cardiologist
"chest pain, high blood pressure, rapid heartbeat, shortness of breath",Cardiologist
"red eye, sensitivity to light",Ophthalmologist
"loss of voice, blocked nose, sore throat",ENT
"bleeding while brushing, mouth ulcer, broken tooth",Dentist
"tonsillitis, sore throat",ENT
"blood in stool, gas, stomach cramps",Gastroenterologist
"flu, chills, cold, sore throat",General Physician
"pelvic pain, heavy bleeding, lower abdominal pain, breast tenderness",Gynecologist
"fast breathing, dehydration",Pediatrician
"tremor, memory loss",Neurologist
"redness, skin rash",Dermatologist
"sore throat, ear discharge, sinus pain",ENT
"nausea, vomiting, loss of appetite",Gastroenterologist
"food poisoning, abdominal pain, constipation, blood in stool",Gastroenterologist
"headache, dizziness, chills",General Physician
"dandruff, skin rash, boils",Dermatologist
"breathlessness at night, chest tightness, left arm pain",Cardiologist
"urinary urgency, blood in urine, difficulty starting urination, kidney stone pain",Urologist
"postpartum bleeding, white discharge, lower abdominal pain",Gynecologist
"non healing ulcer, blood in cough, blood in stool",Oncologist
"sore throat, cough",General Physician
"neck pain radiating, balance problem, speech difficulty",Neurologist
"fever, weakness, flu",General Physician
"neck stiffness, lower back pain radiating",Orthopedic
"vomiting, constipation, indigestion, loss of appetite",Gastroenterologist
"swelling, hip pain, wrist injury, muscle strain",Orthopedic
"pain while chewing, bleeding gums, bleeding while brushing, gum swelling",Dentist
"loss of appetite, blood in stool",Oncologist
"loss of voice, hearing loss, sinus pain",ENT
"breast tenderness, irregular periods, vaginal infection",Gynecologist
"eye strain headache, eye discharge",Ophthalmologist
"speech difficulty, dizziness",Neurologist
"palpitations, breathlessness at night, chest tightness",Cardiologist
"urine leakage, urinary urgency",Urologist
"breast lump, difficulty swallowing",Oncologist
"eye strain headache, swollen eyelid",Ophthalmologist
"shoulder pain, sprain, lower back pain radiating, knee pain",Orthopedic
"cold, fatigue, chills",General Physician
"diarrhea, heartburn",Gastroenterologist
"unusual bleeding, loss of appetite",Oncologist
"night vision problem, dry eyes, eye strain headache, red eye",Ophthalmologist
"fainting, sweating, irregular heartbeat, high blood pressure",Cardiologist
"hives, pigmentation, skin allergy",Dermatologist
"chest pain, chest tightness",Cardiologist
"difficulty seeing far, night vision problem",Ophthalmologist
"weakness, fever, dizziness, cough",General Physician
"painful periods, itching, pcos symptoms",Gynecologist
"baby vomiting, child sore throat, fast breathing, child stomach pain",Pediatrician
"skin rash, eczema, boils",Dermatologist
"pus near gum, wisdom tooth pain, pain while chewing, tooth pain with headache",Dentist
"tooth pain with headache, tooth sensitivity, bleeding while brushing",Dentist
"blocked nose, child stomach pain",Pediatrician
"blood in stool, food poisoning, constipation, indigestion",Gastroenterologist
"ear pain, rash with fever, child wheezing",Pediatrician
"chills, fatigue",General Physician
"arthritis, sprain, lower back pain radiating",Orthopedic
"breast lump, unexplained weight loss",Oncologist
"bone pain, difficulty walking, knee pain, sprain",Orthopedic
"persistent cough, night sweats, loss of appetite, difficulty swallowing",Oncologist
"unexplained weight loss, persistent fatigue, swollen lymph nodes, night sweats",Oncologist
"fainting, one sided weakness, neck pain radiating",Neurologist
"hair fall, fungal infection, psoriasis",Dermatologist
"acne, itching",Dermatologist
"indigestion, bloating",Gastroenterologist
"social anxiety, depressed mood, mood swings, hallucinations",Psychiatrist
"dizziness, chest tightness, breathlessness at night",Cardiologist
"chest pain, leg swelling, breathlessness at night, sweating",Cardiologist
"baby constipation, child wheezing, diarrhea",Pediatrician
"neck stiffness, muscle strain, arthritis, fracture",Orthopedic
"jaundice, food poisoning",Gastroenterologist
"breast tenderness, spotting, itching",Gynecologist
"burning urination, urine leakage",Urologist
"sore throat, ringing in ear, allergic rhinitis",ENT
